model,V_sampling,V_prompt,V_distance,V_interaction,V_total,pct_sampling,pct_prompt,pct_distance,pct_interaction
amazon.nova-pro-v1:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt-4o-latest-20250326,0.005778628755917139,0.0,0.0,0.25583728848657444,0.26161591724249156,2.208821549095934,0.0,0.0,97.79117845090407
claude-3-5-haiku-20241022,0.0065877737870874194,0.003923223033121431,0.015123278861668895,0.0,0.025634275681877747,25.69908301229932,15.304598740408213,58.99631824729246,0.0
claude-3-5-sonnet-20241022,0.006126447418858679,0.0037386485074748666,0.01202210704259078,0.0,0.021887202968924324,27.991001991241514,17.081435726543216,54.92756228221528,0.0
claude-3-7-sonnet-20250219,0.005997314488491448,0.0038907751777625737,0.011663542384930576,0.0,0.0215516320511846,27.827658129314624,18.05327396329929,54.119067907386075,0.0
claude-3-7-sonnet-20250219-thinking-32k,0.005784132402554115,0.003358432404194092,0.010291555578269246,0.0,0.019434120385017455,29.76276923247494,17.28111351406078,52.95611725346427,0.0
claude-opus-4-20250514,0.005103951883965479,0.0,0.0,0.08801879551709377,0.09312274740105925,5.480886277961578,0.0,0.0,94.51911372203841
claude-sonnet-4-20250514,0.005576110913512878,0.0022845055499349275,0.0029836346558180437,0.023135591890847657,0.0339798430101135,16.410054960681382,6.7231197897382415,8.780601649424977,68.0862236001554
command-a-03-2025,0.005857708357908602,0.0014353719721588339,0.0,0.03528412122253928,0.04257720155260672,13.75785195903739,3.371221968135563,0.0,82.87092607282705
gemini-2.0-flash-001,0.0062277814588729856,0.0017930421352907516,0.0,0.0456985109182379,0.053719334512401636,11.593184307663455,3.3377966267933017,0.0,85.06901906554324
gemini-2.5-flash,0.00528179351221469,0.0,0.0,0.20196376444132,0.2072455579535347,2.5485677784220058,0.0,0.0,97.45143222157799
gemini-2.5-pro,0.005802647465466499,0.0,0.0,0.4853027618611721,0.4911054093266386,1.1815482695298731,0.0,0.0,98.81845173047013
gemma-3-27b-it,0.005874350575241672,0.0,0.0,0.11509693201070079,0.12097128258594246,4.855987677131816,0.0,0.0,95.14401232286818
gpt-4.1-2025-04-14,0.00616851151686698,0.0,0.0,0.1502108432272522,0.15637935474411918,3.9445817684568456,0.0,0.0,96.05541823154314
grok-3-preview-02-24,0.006448130635172762,0.0,0.0,0.26714645568275824,0.273594586317931,2.356819527006175,0.0,0.0,97.64318047299383
mistral-medium-2505,0.005343104692694931,0.0,0.0,0.14481592963747297,0.15015903433016792,3.558297185733477,0.0,0.0,96.44170281426652
o3-2025-04-16,0.005596738919266593,0.0,0.0,0.26013989521432535,0.26573663413359194,2.106122453727243,0.0,0.0,97.89387754627276
o3-mini,0.006100497499961276,0.0023448541697270236,0.0029012055640358055,0.024852773315409107,0.03619933054913321,16.852514694107654,6.477617497772126,8.014528224763742,68.65533958335648
o4-mini-2025-04-16,0.006103624877913549,0.0,0.0,0.15044324726416883,0.15654687214208238,3.898912060263895,0.0,0.0,96.1010879397361
qwen3-235b-a22b-no-thinking,0.005491834680750839,0.0,0.0,0.17006752067454667,0.17555935535529751,3.1281925532458517,0.0,0.0,96.87180744675415
MEAN_ACROSS_MODELS,0.005562554192135927,0.0011384426474832252,0.002749266204365668,0.12090072156822096,0.1303509846122058,10.258142769369746,4.381508891337537,11.889709778227338,68.47063856106537
